31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:11 | POST | cafeteria-api/produtos
31-03-2026 19:25:11 | GET | cafeteria-api/produtos
31-03-2026 19:25:11 | GET | cafeteria-api/produtos
31-03-2026 19:25:12 | GET | cafeteria-api/produtos
31-03-2026 19:25:12 | GET | cafeteria-api/produtos
31-03-2026 19:25:12 | GET | cafeteria-api/produtos
31-03-2026 19:25:13 | OPTIONS | cafeteria-api/produtos/37
31-03-2026 19:25:13 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:25:13 | GET | cafeteria-api/produtos
31-03-2026 19:25:14 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:25:14 | GET | cafeteria-api/produtos
31-03-2026 19:25:14 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:25:14 | GET | cafeteria-api/produtos
31-03-2026 19:25:14 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:25:14 | GET | cafeteria-api/produtos
31-03-2026 19:25:14 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:25:14 | GET | cafeteria-api/produtos
31-03-2026 19:25:18 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:25:18 | POST | cafeteria-api/produtos
31-03-2026 19:25:18 | GET | cafeteria-api/produtos
31-03-2026 19:25:33 | GET | cafeteria-api/produtos
31-03-2026 19:25:38 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:25:38 | POST | cafeteria-api/produtos
31-03-2026 19:25:38 | GET | cafeteria-api/produtos
31-03-2026 19:28:31 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:28:31 | POST | cafeteria-api/produtos
31-03-2026 19:28:31 | GET | cafeteria-api/produtos
31-03-2026 19:28:53 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:28:53 | POST | cafeteria-api/produtos
31-03-2026 19:28:53 | GET | cafeteria-api/produtos
31-03-2026 19:28:57 | GET | cafeteria-api/produtos
31-03-2026 19:31:20 | GET | cafeteria-api/produtos
31-03-2026 19:32:02 | GET | cafeteria-api/produtos
31-03-2026 19:32:21 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:32:21 | POST | cafeteria-api/produtos
31-03-2026 19:32:21 | GET | cafeteria-api/produtos
31-03-2026 19:32:25 | GET | cafeteria-api/produtos
31-03-2026 19:32:49 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:32:49 | POST | cafeteria-api/produtos
31-03-2026 19:32:49 | GET | cafeteria-api/produtos
31-03-2026 19:33:27 | OPTIONS | cafeteria-api/produtos
